ACCESSION,NAME
MIMAT0004773,hsa-miR-500a-5p
MIMAT0002872,hsa-miR-501-5p
MIMAT0002873,hsa-miR-502-5p
MIMAT0002874,hsa-miR-503-5p
MIMAT0002875,hsa-miR-504-5p
MIMAT0004776,hsa-miR-505-5p
MIMAT0004799,hsa-miR-589-5p
MIMAT0003301,hsa-miR-33b-5p
MIMAT0003312,hsa-miR-642a-5p
MIMAT0003321,hsa-miR-651-5p
MIMAT0003328,hsa-miR-653-5p
MIMAT0003329,hsa-miR-411-5p
MIMAT0003330,hsa-miR-654-5p
MIMAT0003338,hsa-miR-660-5p
MIMAT0003339,hsa-miR-421
MIMAT0022929,hsa-miR-758-5p
MIMAT0005792,hsa-miR-320b
MIMAT0005793,hsa-miR-320c
MIMAT0005794,hsa-miR-1296-5p
MIMAT0006789,hsa-miR-1468-5p
MIMAT0005796,hsa-miR-1271-5p
MIMAT0004945,hsa-miR-744-5p
MIMAT0004949,hsa-miR-877-5p
MIMAT0004955,hsa-miR-374b-5p
MIMAT0004957,hsa-miR-760
MIMAT0004978,hsa-miR-935
MIMAT0004985,hsa-miR-942-5p
MIMAT0004987,hsa-miR-944
MIMAT0005905,hsa-miR-1254
MIMAT0005948,hsa-miR-664a-5p
MIMAT0006764,hsa-miR-320d
MIMAT0010133,hsa-miR-2110
MIMAT0017352,hsa-miR-2277-5p
MIMAT0015066,hsa-miR-3065-5p
MIMAT0015084,hsa-miR-3199
MIMAT0016847,hsa-miR-378c
MIMAT0016925,hsa-miR-500b-5p
MIMAT0018187,hsa-miR-3913-5p
MIMAT0018191,hsa-miR-3917
MIMAT0018962,hsa-miR-4444
MIMAT0022472,hsa-miR-5683
MIMAT0025474,hsa-miR-6509-5p
MIMAT0027410,hsa-miR-6755-5p
MIMAT0027422,hsa-miR-6761-5p
MIMAT0027608,hsa-miR-6854-5p
MIMAT0004487,hsa-let-7f-2-3p
MIMAT0000071,hsa-miR-17-3p
MIMAT0000073,hsa-miR-19a-3p
MIMAT0000074,hsa-miR-19b-3p
MIMAT0004493,hsa-miR-20a-3p
MIMAT0000077,hsa-miR-22-3p
MIMAT0000078,hsa-miR-23a-3p
MIMAT0000092,hsa-miR-92a-3p
MIMAT0000094,hsa-miR-95-3p
MIMAT0022842,hsa-miR-98-3p
MIMAT0004543,hsa-miR-192-3p
MIMAT0000227,hsa-miR-197-3p
MIMAT0000232,hsa-miR-199a-3p
MIMAT0000243,hsa-miR-148a-3p
MIMAT0004550,hsa-miR-30c-2-3p
MIMAT0004551,hsa-miR-30d-3p
